wins,losses,draws,SLpM,SApM,TD Avg.,Sub. Avg.,ID,height,weight_kg,Str. Acc._total,Str. Def_total,TD Acc._total,TD Def._total,reach_cm,stance,age
6,3,0,0.0,0.0,0.0,0.0,103,182.88,108.86,0.0,0.0,0.0,0.0,180.34,1,57
0,1,0,0.0,0.0,0.0,0.0,104,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,26
2,16,0,0.0,0.0,0.0,0.0,105,175.26,81.65,0.0,0.0,0.0,0.0,180.34,0,26
13,7,2,2.42,0.42,0.0,0.6,106,182.88,90.26,0.5,0.71,0.0,0.9,180.34,1,57
5,9,4,0.0,0.0,0.0,0.0,107,180.34,90.26,0.0,0.0,0.0,0.0,180.34,1,58
2,3,0,0.0,0.0,0.0,0.0,108,175.26,79.38,0.0,0.0,0.0,0.0,180.34,0,56
5,6,0,0.0,0.0,0.0,0.0,109,172.72,88.0,0.0,0.0,0.0,0.0,180.34,1,63
0,2,0,0.0,0.0,0.0,0.0,110,165.1,77.11,0.0,0.0,0.0,0.0,180.34,1,26
5,2,0,0.0,0.0,0.0,0.0,111,167.64,77.11,0.0,0.0,0.0,0.0,180.34,1,52
11,4,0,0.0,0.0,0.0,0.0,112,180.34,90.26,0.0,0.0,0.0,0.0,180.34,1,52
38,19,0,1.33,3.14,0.54,0.0,113,172.72,77.11,0.3,0.53,0.25,0.5,180.34,1,52
4,3,0,0.0,0.0,0.0,0.0,114,187.96,90.72,0.0,0.0,0.0,0.0,180.34,0,48
1,0,0,0.0,0.0,0.0,0.0,115,182.88,97.52,0.0,0.0,0.0,0.0,180.34,0,26
23,22,1,1.84,2.14,0.4,0.8,116,190.5,112.94,0.56,0.48,1.0,0.53,180.34,1,60
30,14,2,2.3,1.36,0.39,0.0,117,185.42,90.72,0.32,0.72,0.5,0.88,180.34,1,58
0,1,0,0.0,0.0,0.0,0.0,118,182.88,151.95,0.0,0.0,0.0,0.0,180.34,1,26
5,8,0,0.0,0.0,0.0,0.0,119,185.42,77.11,0.0,0.0,0.0,0.0,180.34,1,50
1,0,0,0.0,0.0,0.0,0.0,120,170.18,77.11,0.0,0.0,0.0,0.0,180.34,2,26
2,3,1,0.0,0.0,0.0,0.0,121,180.34,88.9,0.0,0.0,0.0,0.0,180.34,1,59
28,4,1,5.59,2.06,0.0,0.0,122,185.42,92.99,0.61,0.79,0.0,0.0,180.34,1,61
253,53,0,0.0,0.0,0.0,0.0,123,182.88,108.86,0.0,0.0,0.0,0.0,180.34,1,48
14,2,1,0.0,0.0,0.0,0.0,124,187.96,156.49,0.0,0.0,0.0,0.0,180.34,1,61
3,2,0,0.0,0.0,0.0,0.0,125,177.8,90.26,0.0,0.0,0.0,0.0,180.34,1,61
19,7,0,0.67,0.0,0.0,0.0,126,180.34,83.01,0.16,0.0,0.0,0.0,180.34,3,50
1,1,2,0.0,0.0,0.0,0.0,127,172.72,70.31,0.0,0.0,0.0,0.0,180.34,1,59
9,4,2,0.0,0.0,0.0,0.0,128,185.42,95.25,0.0,0.0,0.0,0.0,180.34,1,65
1,3,1,0.0,0.0,0.0,0.0,129,160.02,65.77,0.0,0.0,0.0,0.0,180.34,0,55
0,1,0,0.0,0.0,0.0,0.0,130,167.64,72.57,0.0,0.0,0.0,0.0,180.34,1,26
1,2,0,0.0,0.0,0.0,0.0,131,175.26,77.11,0.0,0.0,0.0,0.0,180.34,1,26
11,1,1,0.0,0.0,0.0,0.0,132,175.26,90.26,0.0,0.0,0.0,0.0,180.34,1,62
12,15,0,0.0,0.0,0.0,0.0,133,175.26,99.79,0.0,0.0,0.0,0.0,180.34,1,62
16,16,0,0.0,0.0,0.0,0.0,134,187.96,104.33,0.0,0.0,0.0,0.0,180.34,1,62
23,10,2,4.75,4.66,0.35,1.1,135,177.8,83.91,0.53,0.57,0.5,0.37,180.34,1,53
2,4,1,0.0,0.0,0.0,0.0,136,175.26,89.81,0.0,0.0,0.0,0.0,180.34,1,50
45,35,10,0.0,0.0,0.0,0.0,137,180.34,83.91,0.0,0.0,0.0,0.0,180.34,2,53
33,21,1,0.0,0.0,0.0,0.0,138,180.34,86.18,0.0,0.0,0.0,0.0,180.34,2,56
9,18,1,4.0,4.43,2.14,2.1,139,182.88,92.99,0.5,0.64,0.25,0.5,180.34,1,53
8,1,0,0.0,0.0,0.0,0.0,140,182.88,102.06,0.0,0.0,0.0,0.0,180.34,2,26
10,10,0,0.0,0.0,0.0,0.0,141,165.1,65.77,0.0,0.0,0.0,0.0,180.34,1,59
5,0,0,0.0,0.0,0.0,0.0,142,175.26,77.11,0.0,0.0,0.0,0.0,180.34,1,26
14,4,0,0.0,0.0,0.0,0.0,143,170.18,90.72,0.0,0.0,0.0,0.0,180.34,1,52
0,2,0,0.0,0.0,0.0,0.0,144,180.34,104.33,0.0,0.0,0.0,0.0,180.34,1,26
16,5,3,0.0,0.0,0.0,0.0,145,182.88,90.26,0.0,0.0,0.0,0.0,180.34,1,48
60,42,8,0.88,1.66,1.82,1.9,146,175.26,82.1,0.4,0.49,0.41,0.05,180.34,1,50
4,6,3,0.0,0.0,0.0,0.0,147,185.42,92.99,0.0,0.0,0.0,0.0,180.34,1,58
16,6,2,0.84,1.37,4.19,2.8,148,187.96,127.01,0.5,0.42,0.69,0.5,180.34,1,60
31,9,0,0.7,0.9,1.6,1.8,149,175.26,90.72,0.45,0.52,0.63,0.25,180.34,1,54
56,29,4,0.0,0.0,0.0,0.0,150,172.72,77.11,0.0,0.0,0.0,0.0,180.34,0,62
11,10,0,0.0,0.0,0.0,0.0,151,185.42,104.33,0.0,0.0,0.0,0.0,180.34,0,52
7,2,4,0.0,0.0,0.0,0.0,152,167.64,70.31,0.0,0.0,0.0,0.0,180.34,1,54
2,3,1,0.0,0.0,0.0,0.0,153,177.8,77.11,0.0,0.0,0.0,0.0,180.34,1,57
10,5,0,0.2,2.6,0.0,0.8,154,180.34,90.72,0.36,0.53,0.0,0.25,180.34,1,52
5,2,0,0.0,0.0,0.0,0.0,155,175.26,83.91,0.0,0.0,0.0,0.0,180.34,1,57
4,7,0,0.0,0.0,0.0,0.0,156,187.96,90.72,0.0,0.0,0.0,0.0,180.34,1,52
43,12,1,0.0,0.0,0.0,0.0,157,175.26,83.91,0.0,0.0,0.0,0.0,180.34,1,53
14,8,3,0.0,0.0,0.0,0.0,158,187.96,77.11,0.0,0.0,0.0,0.0,180.34,0,48
10,6,0,0.0,0.0,0.0,0.0,159,180.34,77.11,0.0,0.0,0.0,0.0,180.34,1,26
7,6,1,0.0,0.0,0.0,0.0,160,185.42,102.06,0.0,0.0,0.0,0.0,180.34,1,60
7,1,0,0.0,0.0,0.0,0.0,161,185.42,124.74,0.0,0.0,0.0,0.0,180.34,1,56
27,21,1,0.0,0.0,0.0,0.0,162,180.34,77.11,0.0,0.0,0.0,0.0,180.34,1,52
101,19,1,0.0,0.0,0.0,0.0,163,187.96,113.4,0.0,0.0,0.0,0.0,180.34,2,67
12,3,0,0.5,0.2,3.0,0.0,164,172.72,77.11,0.55,0.33,1.0,0.0,180.34,1,26
19,11,0,1.77,1.45,0.35,0.7,165,187.96,92.99,0.42,0.52,0.66,0.66,180.34,2,49
6,2,0,0.9,0.4,3.0,4.5,166,175.26,92.99,0.47,0.42,0.5,0.0,180.34,2,52
3,4,3,0.0,4.0,0.0,0.0,167,182.88,70.31,0.0,0.66,0.0,0.0,180.34,2,26
26,26,0,3.49,5.71,0.0,0.0,168,190.5,92.99,0.42,0.57,0.0,0.0,180.34,1,51
12,14,0,0.41,0.47,0.89,0.9,169,187.96,100.24,0.46,0.6,0.5,0.2,180.34,1,64
4,5,0,1.21,6.44,0.0,0.0,170,175.26,83.91,0.75,0.2,0.0,0.0,180.34,1,55
12,15,2,0.49,1.64,0.84,1.2,171,182.88,77.11,0.3,0.47,0.17,0.21,180.34,2,48
0,5,1,0.0,3.13,0.0,0.0,172,180.34,92.99,0.0,0.25,0.0,0.0,180.34,1,59
5,12,2,0.3,1.93,0.0,0.3,173,182.88,77.11,0.46,0.38,0.0,0.1,180.34,1,49
1,0,0,0.0,5.8,0.0,0.0,174,182.88,120.2,0.0,0.13,0.0,0.0,180.34,1,26
30,14,1,1.2,1.8,0.0,0.0,175,157.48,77.11,0.66,0.5,0.0,0.5,180.34,2,57
2,3,0,0.61,4.44,0.0,0.0,176,180.34,70.31,0.42,0.31,0.0,0.0,180.34,1,49
10,9,2,0.84,1.68,0.0,0.0,177,170.18,70.31,1.0,0.68,0.0,0.5,180.34,1,51
60,33,9,1.14,2.57,0.76,0.5,178,180.34,83.01,0.42,0.51,0.41,0.37,180.34,2,50
26,14,1,1.2,1.31,0.0,1.1,179,208.28,120.2,0.5,0.53,0.0,0.47,180.34,1,52
9,5,0,1.73,2.49,2.88,2.9,180,172.72,70.31,0.47,0.42,0.4,0.5,180.34,1,55
6,4,1,0.92,2.77,0.0,0.0,181,190.5,102.97,0.5,0.57,0.0,0.0,180.34,1,57
26,9,2,0.68,0.68,5.07,0.0,182,177.8,92.99,0.5,0.0,0.66,0.0,180.34,1,54
36,10,0,2.02,1.32,1.17,1.2,183,187.96,111.13,0.7,0.19,0.5,0.0,180.34,1,57
21,13,1,0.6,0.97,0.0,2.1,184,172.72,77.11,0.4,0.5,0.0,0.25,180.34,1,54
17,16,0,1.26,1.12,2.0,0.8,185,177.8,92.99,0.54,0.57,0.56,0.3,180.34,1,54
25,19,4,0.53,1.06,0.38,0.0,186,175.26,77.11,0.38,0.44,0.5,0.56,180.34,2,55
4,2,0,0.0,0.67,0.0,0.0,187,172.72,70.31,0.0,0.75,0.0,0.66,180.34,1,48
12,6,0,0.61,2.77,1.84,0.9,188,190.5,106.59,0.62,0.4,0.4,0.16,180.34,1,50
29,7,2,1.79,1.66,1.96,1.0,189,177.8,77.11,0.45,0.63,1.0,0.54,180.34,1,58
38,13,2,2.45,1.94,1.87,0.3,190,170.18,76.2,0.49,0.59,0.69,0.56,180.34,1,50
34,9,2,0.78,2.44,1.74,0.4,191,182.88,83.91,0.15,0.6,0.8,0.55,180.34,1,48
24,7,0,1.98,2.19,0.27,0.3,192,175.26,83.01,0.37,0.7,1.0,0.88,180.34,1,49
3,1,0,0.72,4.65,5.37,0.0,193,167.64,70.31,0.75,0.3,0.37,0.0,180.34,2,55
27,19,2,1.88,4.41,1.32,0.4,194,180.34,102.06,0.38,0.54,0.2,0.33,180.34,1,56
15,8,1,1.33,1.9,2.46,1.2,195,187.96,83.01,0.32,0.6,0.33,0.54,180.34,1,59
4,1,0,0.76,4.56,0.0,0.0,196,185.42,70.31,0.14,0.33,0.0,0.0,180.34,4,54
4,5,0,1.28,7.0,0.0,0.0,197,177.8,83.91,0.35,0.41,0.0,0.0,180.34,1,48
21,23,0,1.0,3.26,0.84,1.7,198,180.34,77.11,0.27,0.36,0.4,0.16,180.34,1,53
9,11,0,0.81,1.9,1.36,0.0,199,172.72,77.11,0.33,0.48,1.0,0.0,180.34,1,52
7,3,0,0.0,1.73,1.0,2.0,200,175.26,77.11,0.0,0.43,0.1,0.0,180.34,1,48
20,17,0,0.93,4.67,0.0,2.0,201,180.34,92.99,0.7,0.28,0.0,0.4,180.34,1,56
21,10,2,1.47,1.6,0.5,0.5,202,187.96,92.99,0.35,0.44,0.25,0.74,180.34,1,49
18,10,2,0.75,1.36,0.0,0.0,203,170.18,70.31,0.41,0.68,0.0,0.33,180.34,1,50
15,9,1,2.19,3.44,1.91,2.3,204,172.72,83.91,0.33,0.32,0.71,0.16,180.34,1,59
21,7,0,2.62,2.31,1.06,0.4,205,177.8,83.91,0.49,0.51,0.41,0.71,180.34,1,47
16,0,0,1.61,1.93,3.62,0.6,206,180.34,83.91,0.54,0.5,0.25,1.0,180.34,1,47
8,5,0,0.6,2.22,3.33,0.0,207,175.26,77.11,0.45,0.44,0.45,0.5,180.34,2,60
0,3,0,0.21,1.87,0.0,3.1,208,187.96,107.95,0.25,0.6,0.0,0.0,180.34,1,47
21,18,1,1.54,2.5,0.8,2.4,209,187.96,83.91,0.56,0.38,0.5,0.25,180.34,2,58
19,4,0,1.72,1.45,4.08,1.3,210,170.18,70.31,0.41,0.58,0.61,0.65,180.34,1,46
4,3,0,0.89,3.25,0.0,0.0,211,182.88,106.59,0.37,0.47,0.0,0.0,180.34,1,54
7,1,0,1.8,2.83,2.5,0.0,212,177.8,77.11,0.35,0.5,0.62,0.83,180.34,1,48
1,1,0,0.2,1.4,2.0,0.0,213,170.18,70.31,0.25,0.47,0.12,0.0,180.34,1,58
20,7,1,2.54,3.11,1.44,0.7,214,180.34,102.06,0.48,0.44,0.4,0.8,180.34,1,59
9,7,0,0.0,4.0,0.0,16.4,215,175.26,70.31,0.0,0.38,0.0,0.0,180.34,1,47
25,8,0,3.04,1.88,0.72,0.0,216,177.8,77.11,0.45,0.59,0.33,0.33,180.34,1,56
13,5,0,2.2,2.31,0.65,0.0,217,208.28,120.2,0.29,0.59,0.25,0.83,180.34,1,49
24,6,0,0.69,4.56,0.0,0.0,218,172.72,70.31,0.11,0.42,0.0,0.0,180.34,1,47
15,10,0,0.29,1.44,0.0,0.0,219,175.26,83.91,0.33,0.0,0.0,0.5,180.34,1,26
12,4,1,1.13,0.21,4.63,4.6,220,182.88,83.91,0.73,0.66,0.75,1.0,180.34,1,60
53,25,0,1.85,1.15,2.3,1.0,221,193.04,120.2,0.51,0.61,0.39,0.4,180.34,1,48
20,11,0,1.93,3.02,0.26,0.0,222,185.42,109.32,0.34,0.5,0.28,0.78,180.34,1,52
10,15,0,1.35,3.55,1.07,0.0,223,182.88,120.2,0.3,0.38,0.33,0.66,180.34,4,61
30,11,0,1.88,3.68,0.72,0.0,224,177.8,83.91,0.49,0.47,0.33,0.86,180.34,1,51
8,2,0,0.36,3.28,0.9,1.8,225,190.5,83.91,0.15,0.32,1.0,0.42,180.34,1,48
16,14,0,0.65,1.55,2.47,0.9,226,175.26,77.11,0.41,0.44,0.7,0.43,180.34,1,49
15,4,2,1.55,2.23,3.58,4.2,227,175.26,70.31,0.39,0.33,0.6,0.5,180.34,1,48
11,5,0,4.29,2.14,0.0,0.0,228,190.5,111.13,0.86,0.0,0.0,0.75,180.34,1,51
11,2,0,1.27,5.47,1.91,0.0,229,190.5,113.4,0.58,0.31,0.2,0.0,180.34,2,48
24,14,0,0.98,2.95,0.0,2.3,230,208.28,117.93,0.51,0.37,0.0,0.4,180.34,1,46
20,16,0,2.6,8.8,0.0,0.0,231,190.5,117.93,0.36,0.4,0.0,0.9,180.34,1,47
10,7,1,2.78,2.94,0.41,0.0,232,177.8,77.11,0.46,0.58,0.5,0.61,180.34,1,49
11,12,1,0.69,3.2,0.0,0.0,233,185.42,83.91,0.67,0.29,0.0,0.2,180.34,2,52
10,7,1,0.76,2.12,4.55,2.3,234,190.5,106.59,0.83,0.3,1.0,0.0,180.34,1,58
24,26,2,1.45,3.01,1.81,0.0,235,180.34,77.11,0.57,0.5,1.0,1.0,180.34,1,55
26,33,2,2.11,2.2,0.88,0.0,236,182.88,92.99,0.38,0.54,0.28,0.44,180.34,2,54
14,9,1,3.49,6.5,0.0,0.5,237,182.88,83.91,0.39,0.43,0.0,0.66,180.34,1,55
7,5,0,0.92,1.87,1.46,2.5,238,185.42,77.11,0.48,0.47,0.3,0.5,180.34,1,52
22,14,0,3.93,3.35,1.33,0.8,239,193.04,92.99,0.51,0.49,0.62,0.5,195.58,1,46
9,8,0,0.6,3.6,0.0,9.0,240,182.88,77.11,0.33,0.5,0.0,0.0,180.34,1,45
15,10,0,1.22,2.27,0.0,4.9,241,190.5,83.91,0.4,0.42,0.0,0.22,180.34,1,50
15,9,0,2.72,6.17,0.0,0.0,242,175.26,83.91,0.42,0.57,0.0,0.75,180.34,1,53
5,1,0,0.23,3.22,0.0,3.5,243,180.34,83.91,0.5,0.17,0.0,0.0,180.34,1,58
