fight_url,winner
http://ufcstats.com/fight-details/cff0abc02974fb4a,Michael Aswell Jr.
http://ufcstats.com/fight-details/766b0b26c40525de,Jafel Filho
http://ufcstats.com/fight-details/a815dafc89adf33b,Vitor Petrino
http://ufcstats.com/fight-details/546f971f9d8e0a33,Bia Mesquita
http://ufcstats.com/fight-details/434abaea90ccd299,Lucas Rocha
http://ufcstats.com/fight-details/c547b3e95bcc5f24,Julia Polastri
http://ufcstats.com/fight-details/0f9e7d0d04e24b74,Luan Lacerda
http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,Alex Pereira
http://ufcstats.com/fight-details/a8511df8285f5c91,Merab Dvalishvili
http://ufcstats.com/fight-details/2560ea97b2cce4ef,Jiri Prochazka
http://ufcstats.com/fight-details/84ebd144d5e79c88,Youssef Zalal
http://ufcstats.com/fight-details/d006dd2513bd376d,Joe Pyfer
http://ufcstats.com/fight-details/9418ebb3db2a4bae,Ateba Gautier
http://ufcstats.com/fight-details/7b34aa1eb09b8301,Daniel Santos
http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,Jakub Wiklacz
http://ufcstats.com/fight-details/1c7cc3a22ab7d907,Edmen Shahbazyan
http://ufcstats.com/fight-details/a951090fb402fd20,Punahele Soriano
http://ufcstats.com/fight-details/8353b491afa7bc32,Yana Santos
http://ufcstats.com/fight-details/e53fd165a3bc1f8e,Farid Basharat
http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,Ramiz Brahimaj
http://ufcstats.com/fight-details/98883348ddb3be33,Veronica Hardy
http://ufcstats.com/fight-details/a3ee907c77544cde,Carlos Ulberg
http://ufcstats.com/fight-details/f5fb8b182020c59d,Jimmy Crute
http://ufcstats.com/fight-details/38248c5d13f273e6,Jack Jenkins
http://ufcstats.com/fight-details/1ff24d5f760e0491,Neil Magny
http://ufcstats.com/fight-details/8abad36b4c5e4070,Tom Nolan
http://ufcstats.com/fight-details/dc31d3260dea7dcf,Navajo Stirling
http://ufcstats.com/fight-details/93a0a19c2c1cfe66,Cam Rowston
http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,Jamie Mullarkey
http://ufcstats.com/fight-details/81127436605d3c88,Colby Thicknesse
http://ufcstats.com/fight-details/44cd8c9f622e155f,Michelle Montague
http://ufcstats.com/fight-details/140937779a2466a7,Brando Pericic
http://ufcstats.com/fight-details/e35f7504d83b8b07,Alexia Thainara
http://ufcstats.com/fight-details/de1a3734be60e6a1,Diego Lopes
http://ufcstats.com/fight-details/944b929130b23c2a,David Martinez
http://ufcstats.com/fight-details/7cbfeba85f86d1bf,Rafa Garcia
http://ufcstats.com/fight-details/114d2f6fcd3f6f00,Kelvin Gastelum
http://ufcstats.com/fight-details/202c47db69768356,Alexander Hernandez
http://ufcstats.com/fight-details/8a884a7930d75ca9,Santiago Luna
http://ufcstats.com/fight-details/07a378b257aad5a9,Dusko Todorovic
http://ufcstats.com/fight-details/352839a03b428e74,Joaquim Silva
http://ufcstats.com/fight-details/9474f64347aade7a,Tatiana Suarez
http://ufcstats.com/fight-details/3dc1a6335d890650,Jesus Aguilar
http://ufcstats.com/fight-details/d822ebc7dbc6c259,
http://ufcstats.com/fight-details/a1e193425e716b42,Alden Coria
http://ufcstats.com/fight-details/c4a6174b0698652e,Montse Rendon
http://ufcstats.com/fight-details/3dd2fde7bff79c51,Daniil Donchenko
http://ufcstats.com/fight-details/5bcd8abf6da01dae,Nassourdine Imavov
http://ufcstats.com/fight-details/d14fea43712707f0,Benoit Saint Denis
http://ufcstats.com/fight-details/0149e875b31e57f8,Modestas Bukauskas
http://ufcstats.com/fight-details/69b31593175f77ec,Mason Jones
http://ufcstats.com/fight-details/a47123ae6e048f11,Axel Sola
http://ufcstats.com/fight-details/b53031bf4bd0a330,William Gomis
http://ufcstats.com/fight-details/4080b4310d82b42d,Oumar Sy
http://ufcstats.com/fight-details/23dbe713c4294c66,Ante Delija
http://ufcstats.com/fight-details/5cd2dd6075fadcce,Kaue Fernandes
http://ufcstats.com/fight-details/420211200a35c1d1,Sam Patterson
http://ufcstats.com/fight-details/b3253e2c2d111030,Robert Bryczek
http://ufcstats.com/fight-details/d56a59a4c79cf515,Rinat Fakhretdinov
http://ufcstats.com/fight-details/a38010639e61885c,Sam Hughes
http://ufcstats.com/fight-details/2eecf0c36192e40c,Johnny Walker
http://ufcstats.com/fight-details/58080e8989927500,Aljamain Sterling
http://ufcstats.com/fight-details/5538d15c4eeac3b3,Sergei Pavlovich
http://ufcstats.com/fight-details/ce6bd165bef82bd7,Sumudaerji
http://ufcstats.com/fight-details/1452c20d964c0a63,Taiyilake Nueraji
http://ufcstats.com/fight-details/0b1460c666e66d39,Gauge Young
http://ufcstats.com/fight-details/1ab1ed99a4bc5494,Charles Johnson
http://ufcstats.com/fight-details/f55749e32ce5c6f3,Rongzhu
http://ufcstats.com/fight-details/130e622d4d2aee3e,Kyle Daukaus
http://ufcstats.com/fight-details/f0b7caa90faf47e5,Yizha
http://ufcstats.com/fight-details/2f6065fe0804d1d8,SuYoung You
http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,Uran Satybaldiev
http://ufcstats.com/fight-details/abf5f4d6f777cf7b,Bruna Brasil
http://ufcstats.com/fight-details/16523b1bec3cd7b0,Nyamjargal Tumendemberel
http://ufcstats.com/fight-details/12cedec11b37ddc0,Khamzat Chimaev
http://ufcstats.com/fight-details/9fa6a029f7f8241c,Lerone Murphy
http://ufcstats.com/fight-details/42585ce706c086de,Carlos Prates
http://ufcstats.com/fight-details/9939d7073462e07e,Michael Page
http://ufcstats.com/fight-details/82338ba457fbe87f,Tim Elliott
http://ufcstats.com/fight-details/5efd13a12be06706,Baisangur Susurkaev
http://ufcstats.com/fight-details/5b880d10b0ed7acc,Michal Oleksiejczuk
http://ufcstats.com/fight-details/a2eafd9e1d5031b1,Loopy Godinez
http://ufcstats.com/fight-details/1d8dc0fb5d47357f,Alexander Hernandez
http://ufcstats.com/fight-details/bc63f1b2e52f603e,Drakkar Klose
http://ufcstats.com/fight-details/88020d22cf905792,Karine Silva
http://ufcstats.com/fight-details/68c423c7119004f3,Joseph Morales
http://ufcstats.com/fight-details/68fe62bac7fd8bb0,Anthony Hernandez
http://ufcstats.com/fight-details/37d58369782cb86b,Steve Erceg
http://ufcstats.com/fight-details/646c79a7ecd12e5f,Iasmin Lucindo
